hook,window_id,status,quality_score,reason_codes,feature_name,feature_value,error
qc_decision_v1,w_clean,KEEP,96.091,NONE,,,
feature_extractor_v1,w_clean,,,,channel_count,2.0,
feature_extractor_v1,w_clean,,,,non_empty_channel_count,2.0,
feature_extractor_v1,w_clean,,,,sample_count_total,8.0,
feature_extractor_v1,w_clean,,,,range_max_uv,4.0,
feature_extractor_v1,w_clean,,,,range_mean_uv,3.5,
feature_extractor_v1,w_clean,,,,flatline_ratio,0.0,
feature_extractor_v1,w_clean,,,,mean_abs_uv,1.875,
feature_extractor_v1,w_clean,,,,rms_uv,2.207940216581962,
feature_extractor_v1,w_clean,,,,peak_abs_uv,4.0,
feature_extractor_v1,w_clean,,,,zero_crossing_rate,0.0,
feature_extractor_v1,w_clean,,,,ml_range_gate,6.772414961977024e-05,
feature_extractor_v1,w_clean,,,,ml_range_reject_gate,1.670142184809518e-05,
feature_extractor_v1,w_clean,,,,ml_flatline_gate,0.015267153880374442,
feature_extractor_v1,w_clean,,,,ml_flatline_reject_gate,0.0002403117128189263,
feature_extractor_v1,w_clean,,,,ml_rms_gate,0.19427150901696766,
feature_extractor_v1,w_clean,,,,ml_peak_gate,0.26823965207235007,
qc_decision_v1,w_noisy,REJECT,99.811,AMP_RANGE,,,
feature_extractor_v1,w_noisy,,,,channel_count,1.0,
feature_extractor_v1,w_noisy,,,,non_empty_channel_count,1.0,
feature_extractor_v1,w_noisy,,,,sample_count_total,4.0,
feature_extractor_v1,w_noisy,,,,range_max_uv,510.0,
feature_extractor_v1,w_noisy,,,,range_mean_uv,510.0,
feature_extractor_v1,w_noisy,,,,flatline_ratio,0.0,
feature_extractor_v1,w_noisy,,,,mean_abs_uv,130.0,
feature_extractor_v1,w_noisy,,,,rms_uv,180.41618552668714,
feature_extractor_v1,w_noisy,,,,peak_abs_uv,260.0,
feature_extractor_v1,w_noisy,,,,zero_crossing_rate,1.0,
feature_extractor_v1,w_noisy,,,,ml_range_gate,1.0,
feature_extractor_v1,w_noisy,,,,ml_range_reject_gate,0.9999999988967441,
feature_extractor_v1,w_noisy,,,,ml_flatline_gate,0.015267153880374442,
feature_extractor_v1,w_noisy,,,,ml_flatline_reject_gate,0.0002403117128189263,
feature_extractor_v1,w_noisy,,,,ml_rms_gate,0.8667989598860606,
feature_extractor_v1,w_noisy,,,,ml_peak_gate,0.9274200678871156,
qc_decision_v1,w_flat,REJECT,99.615,FLATLINE,,,
feature_extractor_v1,w_flat,,,,channel_count,2.0,
feature_extractor_v1,w_flat,,,,non_empty_channel_count,2.0,
feature_extractor_v1,w_flat,,,,sample_count_total,8.0,
feature_extractor_v1,w_flat,,,,range_max_uv,0.0,
feature_extractor_v1,w_flat,,,,range_mean_uv,0.0,
feature_extractor_v1,w_flat,,,,flatline_ratio,1.0,
feature_extractor_v1,w_flat,,,,mean_abs_uv,1.5,
feature_extractor_v1,w_flat,,,,rms_uv,1.5811388300841898,
feature_extractor_v1,w_flat,,,,peak_abs_uv,2.0,
feature_extractor_v1,w_flat,,,,zero_crossing_rate,0.0,
feature_extractor_v1,w_flat,,,,ml_range_gate,4.5397868702434395e-05,
feature_extractor_v1,w_flat,,,,ml_range_reject_gate,1.3007128466476033e-05,
feature_extractor_v1,w_flat,,,,ml_flatline_gate,0.9999962733607158,
feature_extractor_v1,w_flat,,,,ml_flatline_reject_gate,0.9997596882871811,
feature_extractor_v1,w_flat,,,,ml_rms_gate,0.15803845142524772,
feature_extractor_v1,w_flat,,,,ml_peak_gate,0.18310204811135164,
